Gender,Class,NrPS1,NrPSM1,NrPSA1,NrPCA1,NrPC1,NET1,NL1,NrPS2,NrPSM2,NrPSA2,NrPCA2,NrPC2,NET2,NL2,BS,PF
0,2,7,0,0,0,7,4.9,3,7,1,4,0,7,4.2,2.8,3,43.8
0,2,7,0,0,0,5,9,2.4,6,0,0,0,7,7.4,2.4,2.14,46.4
0,5,6,5,0,0,6,8.4,2.5,5,2,0,0,3,5,2.1,15.5,67.83
0,3,7,0,0,0,6,7.1,2.2,7,1,0,0,4,2.75,2.15,7.2,45.1
0,5,6,2,1,0,2,6,3.1,6,1,0,1,2,3,2.9,6.57,50.36
0,14,6,0,0,0,4,5.2,2.5,7,0,0,0,1,9.7,2.2,0,41.7
0,14,5,0,0,0,1,5.9,2.4,6,0,0,1,6,9.5,2.2,0,42.01
1,2,7,5,1,0,2,7.3,3.4,7,4,1,0,4,7.6,2.6,18.5,79.51
0,3,7,2,0,0,7,6.1,2.9,7,0,0,0,7,7.7,2.1,1.89,48.03
0,2,7,2,0,0,2,5.6,4.1,5,0,0,0,4,7.1,3.1,0,47.17
0,12,7,0,1,0,5,7.6,2.35,7,0,1,0,4,8.9,2.45,1,45.88
0,5,7,2,2,0,5,9,2.25,6,3,0,0,5,7.8,2.4,0.29,55.36
0,2,7,0,0,0,6,8.4,2.9,7,0,0,0,7,4.6,2.3,10,51.79
0,7,7,0,0,2,1,4.2,2.5,6,0,0,3,4,6.9,3,4,45.18
0,8,7,0,0,0,7,7.1,2.5,6,0,0,0,7,8,2.05,3.7,46.04
1,6,7,1,0,0,7,7.9,3.5,7,0,0,0,7,2.6,2.6,8,49.91
0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63
0,14,7,0,0,0,6,7.8,2.2,7,1,0,0,6,6.4,2.15,3.78,47.11
1,11,7,2,4,0,6,7.9,3,4,2,1,0,4,7.4,2.5,4.5,57.23
0,3,7,0,0,0,7,4.7,2.3,7,0,0,0,6,2,2.5,5.57,38.5
